2	23.8296	11.982	0.896665	0.723719
13	9.53175	59.2018	5.10894	0.116059
14	38.3851	64.3439	5.28429	0.709081
20	19.0573	39.1242	12.2929	0.512734
26	34.8756	67.8514	0.332133	0.776431
29	20.302	59.831	0.78909	0.981303
32	35.7079	46.666	12.1062	0.79696
48	33.7206	38.556	13.8472	0.174653
57	26.2623	54.041	2.75459	0.871363
61	31.4477	58.4236	9.68675	0.541809
62	42.3661	52.6981	12.9764	0.302288
67	24.1433	34.6658	9.75609	0.523852
76	34.2671	18.4011	9.32887	0.0547812
78	21.5348	12.9144	13.9793	0.452542
87	32.1822	40.5619	10.8934	0.8515
90	37.1146	12.492	4.91023	0.979512
91	41.6138	42.3614	8.21761	0.746226
93	22.1574	40.822	2.68043	0.0256196
107	30.4957	38.2165	5.03612	0.263703
115	20.885	50.1428	2.18242	0.967637
122	37.0429	50.9909	5.59993	0.207553
125	32.6831	26.9319	3.73687	0.761421
128	11.4498	25.3487	0.705953	0.988698
133	26.968	35.3145	9.01879	0.339654
144	21.9419	52.7297	11.2553	0.998956
147	14.0751	66.9098	12.3252	0.31828
148	11.5763	58.633	6.41266	0.350567
153	14.5438	65.532	9.69505	0.372266
164	26.2055	60.4302	12.698	0.649534
165	12.3823	53.1763	0.880409	0.448094
171	33.5522	39.053	6.84893	0.839133
182	16.6814	28.9477	3.96199	0.915494
190	16.4967	32.7481	12.8805	0.73979
191	41.8721	33.9425	9.4668	0.868244
193	11.5233	50.387	5.51714	0.390163
